artist_name,artist_id
Gen Hoshino,gen_hoshino
Ben Woodward,ben_woodward
Ingrid Michaelson,ingrid_michaelson
ZAYN,zayn
Kina Grannis,kina_grannis
Chord Overstreet,chord_overstreet
Tyrone Wells,tyrone_wells
A Great Big World,a_great_big_world
Christina Aguilera,christina_aguilera
Jason Mraz,jason_mraz
Colbie Caillat,colbie_caillat
Ross Copperman,ross_copperman
Zack Tabudlo,zack_tabudlo
Dan Berk,dan_berk
Anna Hamilton,anna_hamilton
Deepend,deepend
Landon Pigg,landon_pigg
Andrew Foy,andrew_foy
Renee Foy,renee_foy
Brandi Carlile,brandi_carlile
Sam Smith,sam_smith
KT Tunstall,kt_tunstall
Eddie Vedder,eddie_vedder
Lucius,lucius
Highland Peak,highland_peak
Motohiro Hata,motohiro_hata
Andrew Belle,andrew_belle
Ron Pope,ron_pope
Adam Christopher,adam_christopher
Aron Wright,aron_wright
Sara Bareilles,sara_bareilles
Kurt Cobain,kurt_cobain
Tim Halperin,tim_halperin
Canyon City,canyon_city
Aaron Espe,aaron_espe
Tyler Ward,tyler_ward
Five For Fighting,five_for_fighting
Bailey Jehl,bailey_jehl
Drew Holcomb & The Neighbors,drew_holcomb__the_neighbors
Gabrielle Aplin,gabrielle_aplin
The Civil Wars,the_civil_wars
Callum J Wright,callum_j_wright
Boyce Avenue,boyce_avenue
JP Cooper,jp_cooper
Mone Kamishiraishi,mone_kamishiraishi
John Adams,john_adams
Kitri,kitri
Augustana,augustana
Matthew Perryman Jones,matthew_perryman_jones
Ray LaMontagne,ray_lamontagne
Sierra Ferrell,sierra_ferrell
Meg Birch,meg_birch
Catherine Feeny,catherine_feeny
Joshua Hyslop,joshua_hyslop
JJ Heller,jj_heller
Howie Day,howie_day
Ben Rector,ben_rector
Matt Nathanson,matt_nathanson
Parachute,parachute
Susie Suh,susie_suh
Robot Koch,robot_koch
Eden Elf,eden_elf
Ren Avel,ren_avel
Rachel Grae,rachel_grae
Cary Brothers,cary_brothers
The Mayries,the_mayries
Joseph Sullinger,joseph_sullinger
Yonnyboii,yonnyboii
Tobey Rosen,tobey_rosen
Aqualung,aqualung
Karis,karis
Ray Lorraine,ray_lorraine
Agustín Amigó,agustn_amig
Nylonwings,nylonwings
Amy Stroup,amy_stroup
Connie Talbot,connie_talbot
Caleb Santos,caleb_santos
Viva Music Publishing Inc.,viva_music_publishing_inc
Priscilla Ahn,priscilla_ahn
Jon Bryant,jon_bryant
Angelina Cruz,angelina_cruz
Stephen Speaks,stephen_speaks
The Weepies,the_weepies
Deb Talan,deb_talan
Steve Tannen,steve_tannen
Freddie King,freddie_king
Taj Mahal,taj_mahal
Thomas Daniel,thomas_daniel
Todd Carey,todd_carey
Ariza,ariza
Chuck Leavell,chuck_leavell
YUZU,yuzu
Jonah Baker,jonah_baker
Billkin,billkin
Anna Nalick,anna_nalick
Us The Duo,us_the_duo
Donovan Woods,donovan_woods
Tenille Townes,tenille_townes
Amos Lee,amos_lee
Meghan Trainor,meghan_trainor
Days N Daze,days_n_daze
Mindy Gledhill,mindy_gledhill
Dave Barnes,dave_barnes
Get Dead,get_dead
Albert King,albert_king
Aoi Teshima,aoi_teshima
Emma Heesters,emma_heesters
Jae Hall,jae_hall
A Fine Frenzy,a_fine_frenzy
Roses & Frey,roses__frey
Aidan Hawken,aidan_hawken
The Rescues,the_rescues
Ivan & Alyosha,ivan__alyosha
Austin Plaine,austin_plaine
Plamina,plamina
Imaginary Future,imaginary_future
Phillip LaRue,phillip_larue
krissy & ericka,krissy__ericka
Takehara Pistol,takehara_pistol
Allman Brown,allman_brown
Liz Lawrence,liz_lawrence
Eddy Tyler,eddy_tyler
Joy Williams,joy_williams
Lusaint,lusaint
Mother's Daughter,mothers_daughter
Beck Pete,beck_pete
The Perishers,the_perishers
Madysyn,madysyn
Matt Johnson,matt_johnson
