track_id,track_name,popularity,duration_ms,explicit,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5SuOikwiRyPMVoIQDJUgSV,Comedy,73,230666,False,0.676,0.461,0.143,0.0322,1.01e-06,0.358,0.715,87.917
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,55,149610,False,0.42,0.166,0.0763,0.924,5.56e-06,0.101,0.267,77.489
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,57,210826,False,0.438,0.359,0.0557,0.21,0.0,0.117,0.12,76.332
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,71,201933,False,0.266,0.0596,0.0363,0.905,7.07e-05,0.132,0.143,181.74
5vjLSffimiIP26QG5WcN2K,Hold On,82,198853,False,0.618,0.443,0.0526,0.469,0.0,0.0829,0.167,119.949
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,58,214240,False,0.688,0.481,0.105,0.289,0.0,0.189,0.666,98.017
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,74,229400,False,0.407,0.147,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,80,242946,False,0.703,0.444,0.0417,0.559,0.0,0.0973,0.712,150.96
0IktbUcnAGrvD03AWnz3Q8,Lucky,74,189613,False,0.625,0.414,0.0369,0.294,0.0,0.151,0.669,130.088
7k9GuJYLp2AzqokyEdwEw2,Hunger,56,205594,False,0.442,0.632,0.0295,0.426,0.00419,0.0735,0.196,78.899
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,74,244800,False,0.627,0.363,0.0291,0.279,0.0,0.0928,0.301,99.905
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,69,240165,False,0.483,0.303,0.0429,0.694,0.0,0.115,0.139,133.406
4ptDJbJl35d7gQfeNteBwp,Solo,52,198712,False,0.489,0.314,0.0331,0.749,0.0,0.113,0.607,124.234
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,62,248448,False,0.691,0.234,0.0285,0.777,0.0,0.12,0.209,87.103
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,56,188133,False,0.755,0.78,0.0327,0.124,2.83e-05,0.121,0.387,120.004
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,0.0274,0.2,4.56e-05,0.179,0.238,83.457
6xKeQgzfjixSUld14qUezm,ily (i love you baby),56,129750,False,0.706,0.112,0.0391,0.827,4.03e-06,0.125,0.414,110.154
4Yo0igmcoNyat1secaH0OD,At My Worst,54,169728,False,0.795,0.0841,0.0461,0.742,1.17e-05,0.0853,0.609,91.803
2qLMf6TuEC3ruGJg4SMMN6,Lucky,68,189613,False,0.625,0.414,0.0369,0.294,0.0,0.151,0.669,130.088
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,75,242946,False,0.703,0.444,0.0417,0.559,0.0,0.0973,0.712,150.96
5TvE3pk05pyFIGdSY9j4DJ,Say Something,70,229400,False,0.407,0.147,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
0BUuuEvNa5T4lMaewyiudB,93 Million Miles,0,216386,False,0.572,0.454,0.0258,0.477,1.37e-05,0.0974,0.515,140.182
3Hn3LfhrQOaKihdCibJsTs,Unlonely,0,231266,False,0.796,0.667,0.0392,0.381,0.0,0.221,0.754,97.988
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,1,302346,False,0.755,0.454,0.0352,0.757,0.0,0.236,0.33,120.06
5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,0,131760,False,0.62,0.309,0.0495,0.788,0.0,0.146,0.664,145.363
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,0,273653,False,0.633,0.429,0.0381,0.0444,0.0,0.132,0.52,143.793
5QAMZTM5cmLg3fHX9ZbTZi,Winter Wonderland,0,131760,False,0.62,0.309,0.0495,0.788,0.0,0.146,0.664,145.363
2qESE1ZeWly7I3YjyTXmXh,Winter Wonderland,0,131760,False,0.62,0.309,0.0495,0.788,0.0,0.146,0.664,145.363
3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,0,131760,False,0.62,0.309,0.0495,0.788,0.0,0.146,0.664,145.363
3ax0rfGb7exLtl02LL08U9,Winter Wonderland,0,131760,False,0.62,0.309,0.0495,0.788,0.0,0.146,0.664,145.363
1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,0,234186,False,0.593,0.455,0.0388,0.366,0.0,0.0914,0.564,202.019
3H36x7buZdQD4687VmFrwY,Party of One,0,259558,False,0.296,0.206,0.0412,0.782,0.000225,0.0959,0.202,165.4
0xbMRcMFqxJq1Wa7tvWPtn,Party of One,0,259558,False,0.296,0.206,0.0412,0.782,0.000225,0.0959,0.202,165.4
6h061f44HZPj1OXO2nA45d,Party of One,0,259558,False,0.296,0.206,0.0412,0.782,0.000225,0.0959,0.202,165.4
62EwQLDw0dprDzuLwQ0sH1,Lonely This Christmas,0,257493,False,0.409,0.153,0.0306,0.939,2.56e-05,0.108,0.18,85.262
3lvo0I8c2qBJDLZWqExDgC,Throwing Good After Bad,0,247791,False,0.501,0.0952,0.054,0.963,1.58e-05,0.0915,0.316,138.016
1ae8XfBQ3fDEvmBjFaemGV,This Time Tomorrow,0,206267,False,0.606,0.326,0.0294,0.841,0.0,0.139,0.414,91.626
0adVktNVJXPZfhQe6B1NO5,Lonely This Christmas,0,257493,False,0.409,0.153,0.0306,0.939,2.56e-05,0.108,0.18,85.262
6sp6Vx3sv2l5qxPfbQkcyt,The Haves,0,306794,False,0.474,0.519,0.0253,0.281,0.0,0.107,0.326,151.832
1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,0,266960,False,0.568,0.301,0.0373,0.796,3.37e-06,0.118,0.142,88.029
0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,0,230098,False,0.568,0.686,0.033,0.15,1.81e-06,0.0881,0.725,172.075
1MLr9b1fOybO3MGiLy47Ys,You and Me on the Rock,0,230098,False,0.568,0.686,0.033,0.15,1.81e-06,0.0881,0.725,172.075
6JGjevTaqr9J1xp7YvYUKF,"""""Speak Your Mind (From the Netflix Series """"""""We The People"""""""")""""",0,193943,False,0.476,0.666,0.0446,0.314,0.0,0.342,0.498,148.155
7Af2YlwMZryKOQiRfwMsD2,You and Me on the Rock,0,230098,False,0.568,0.686,0.033,0.15,1.81e-06,0.0881,0.725,172.075
3RE5nHIVkC4KcA7snFaTKd,You and Me on the Rock,0,230098,False,0.568,0.686,0.033,0.15,1.81e-06,0.0881,0.725,172.075
0JvkNRyq8Tmot9khpdtN0I,You and Me on the Rock,0,230098,False,0.568,0.686,0.033,0.15,1.81e-06,0.0881,0.725,172.075
27gHtbsHClwimHFtKgFop4,You and Me on the Rock,0,230098,False,0.568,0.686,0.033,0.15,1.81e-06,0.0881,0.725,172.075
1QBNBGeIRRGBnLhdlHbfI8,You and Me on the Rock,0,230098,False,0.568,0.686,0.033,0.15,1.81e-06,0.0881,0.725,172.075
